ID;group;neutral_s;focus_s;f_marking (via all caps);C1 (focus-supported);C2 (focus-contradicting)
1;Subject;Marie baked cupcakes for the party.;It was Marie who baked cupcakes for the party.;MARIE baked cupcakes for the party.;Sebastian’s oven had stopped working earlier that day.;Sebastian baked some too.
2;Subject;Sarah cleaned the flat yesterday.;It was Sarah who cleaned the flat yesterday.;SARAH cleaned the flat yesterday.;Her flatmate was in bed with a migraine.;Her flatmate helped her.
3;Subject;Gaurav set up the Christmas tree.;It was Gaurav who set up the Christmas tree.;GAURAV set up the Christmas tree.;The rest of the family was busy in the kitchen.;His cousin gave him a hand.
4;Subject;Nick wrote the thank-you cards.;It was Nick who wrote the thank-you cards.;NICK wrote the thank-you cards.;He really has the most beautiful handwriting of anyone. ;Marie wrote a couple as well.
5;Subject;Iva made the reservation at the restaurant.;It was Iva who made the reservation at the restaurant.;IVA made the reservation at the restaurant.;She was the only one with internet access on her phone.;Aaron also made one.
6;Subject;Sebastian went to pick up the keys.;It was Sebastian who went to pick up the keys.;SEBASTIAN went to pick up the keys.;His flatmates were all at work.;His flatmate went with him.
7;Subject;Tim replied to the emails.;It was Tim who replied to the emails.;TIM replied to the emails.;The rest of the team was in a meeting.;Sandra replied to a couple as well.
8;Subject;Polly gave a speech at the gathering.;It was Polly who gave a speech at the gathering.;POLLY gave a speech at the gathering.;No one else felt comfortable speaking in front of such a large crowd.;Marcus gave one too.
9;Subject;Marie created a playlist for the party.;It was Marie who created a playlist for the party.;MARIE created a playlist for the party.;She is the only one with a Spotify account.;Sebastian made one too.
10;Subject;Sam remembered his parents’ anniversary.;It was Sam who remembered his parents’ anniversary.;SAM remembered his parents’ anniversary.;His siblings had completely forgotten about it.;His sister remembered it too and sent a card.
11;Subject;The headmaster watered the plants.;It was the headmaster who watered the plants.;THE HEADMASTER watered the plants.;He was the only one at the office that day.;His secretary helped him with a few.
12;Subject;Taylor organised the charity raffle.;It was Taylor who organised the charity raffle.;TAYLOR organised the charity raffle.;The others on the team didn't have any experience with suchlike events.;One of his colleagues supported him with it.
13;Subject;Sandra spoke with the taxi driver.;It was Sandra who spoke with the taxi driver.;SANDRA spoke with the taxi driver.;She was the only one who spoke Turkish.;Nick talked to him during the ride to the hotel as well.
14;Subject;Albert set up the new TV.;It was Albert who set up the new TV. ;ALBERT set up the TV.;No one else in his family knew how to do it.;His sister helped him. 
15;Subject;Kate showed the new students around.;It was Kate who showed the new students around.;KATE showed the new students around.;She is the only one who knows the building inside out.;Paul also gave them a tour.
16;VP;Zayn was engaged in decorating the flat.;It was decorating the flat that Zayn was engaged in.;Zayn was engaged in DECORATING the flat.;The cleaning had been done by his flatmate already.;He also cleaned it.
17;VP;Marie helped with folding the laundry.;It was folding the laundry that Marie helped with.;Marie helped with FOLDING the laundry.;She couldn't be bothered to iron it though.;She also helped with ironing it.
18;VP;Nick was busy organising the storage shelf.;It was organising the storage shelf that Nick was busy with.;Nick was busy ORGANISING the storage shelf.;His friend was the one who had set it up.;He had also set it up.
19;VP;Gaurav was busy with printing the report.;It was printing the report that Gaurav was busy with.;Gaurav was busy PRINTING the report.;He hadn’t had time to read it. ;He was also reading it.
20;VP;Sarah was engaged in wrapping the gifts.;It was wrapping the gifts that Sarah was engaged in.;Sarah was engaged in WRAPPING the gifts.;Her friend was labelling them.;She also labelled them with colourful tags.
21;VP;Sebastian was engaged in transcribing the interview.;It was transcribing the interview that Sebastian was engaged in.;Sebastian was engaged in TRANSCRIBING the interview.;His colleague had conducted it.;He had also conducted it.
